precinto,votos,persona,partido
Vega Alta 016,213,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Vega Alta 017,71,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Vega Baja 018,205,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Vega Baja 019,247,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Morovis 020,145,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Manatí 021,131,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Manatí 022,171,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Ciales 023,113,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Florida 024,120,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Barceloneta 025,187,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Arecibo 026,105,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Arecibo 027,549,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Hatillo 028,46,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Hatillo 029,221,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Camuy 030,245,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Quebradillas 031,225,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Isabela 032,353,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
San Sebastián 033,467,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Las Marías 034,75,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Aguadilla 035,462,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Moca 036,231,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Moca 037,20,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Aguada 038,333,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Rincón 039,105,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Añasco 040,168,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Mayagüez 041,19,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Mayagüez 042,799,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
San Germán 043,78,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
San Germán 044,265,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Hormigueros 045,201,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Cabo Rojo 046,626,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Lajas 047,200,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Guánica 048,157,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Sabana Grande 049,223,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Maricao 050,42,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Yauco 051,158,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Yauco 052,272,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Lares 053,276,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Utuado 054,204,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Adjuntas 055,147,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Jayuya 056,60,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Jayuya 057,65,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Guayanilla 058,308,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Peñuelas 059,464,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Ponce 060,173,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Ponce 061,1037,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Ponce 062,531,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Juana Díaz 063,230,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Juana Díaz 064,145,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Villalba 065,159,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Orocovis 066,129,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Santa Isabel 067,148,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Coamo 068,92,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Aibonito 069,282,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Barranquitas 070,199,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Barranquitas 071,46,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Corozal 072,211,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Naranjito 073,281,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Comerío 074,194,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Coamo 075,129,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Cidra 076,495,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Cayey 077,503,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Salinas 078,179,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Guayama 079,384,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Arroyo 080,204,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Aguas Buenas 081,423,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Caguas 082,589,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Caguas 083,950,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Gurabo 084,383,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Salinas 085,27,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
San Lorenzo 086,170,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
San Lorenzo 087,115,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Juncos 088,277,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Las Piedras 089,236,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Las Piedras 090,23,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Patillas 091,144,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Maunabo 092,156,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Yabucoa 093,276,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Humacao 094,402,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Naguabo 095,153,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Vieques 096,109,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Culebra 097,34,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Ceiba 098,97,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Fajardo 099,223,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Luquillo 100,177,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Río Grande 101,72,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Río Grande 102,312,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Loíza 103,166,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Canóvanas 104,139,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Canóvanas 105,182,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Carolina 106,290,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Carolina 107,436,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Carolina 108,743,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Trujillo Alto 109,448,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Trujillo Alto 110,408,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
San Juan 001,337,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
San Juan 002,327,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
San Juan 003,256,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
San Juan 004,310,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
San Juan 005,68,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Guaynabo 006,73,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Guaynabo 007,167,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Cataño 008,38,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Bayamón 009,8,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Bayamón 010,146,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Bayamón 011,167,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Bayamón 012,19,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Toa Alta 013,91,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Toa Baja 014,141,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Dorado 015,42,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Vega Alta 016,31,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Vega Alta 017,8,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Vega Baja 018,31,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Vega Baja 019,41,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Morovis 020,23,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Manatí 021,16,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Manatí 022,18,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Ciales 023,23,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Florida 024,14,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Barceloneta 025,15,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Arecibo 026,9,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Arecibo 027,63,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Hatillo 028,6,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Hatillo 029,34,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Camuy 030,26,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Quebradillas 031,24,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Isabela 032,37,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
San Sebastián 033,47,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Las Marías 034,5,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Aguadilla 035,65,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Moca 036,33,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Moca 037,5,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Aguada 038,44,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Rincón 039,15,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Añasco 040,19,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Mayagüez 041,4,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Mayagüez 042,112,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
San Germán 043,4,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
San Germán 044,26,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Hormigueros 045,18,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Cabo Rojo 046,63,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Lajas 047,28,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Guánica 048,10,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Sabana Grande 049,15,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Maricao 050,5,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Yauco 051,11,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Yauco 052,29,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Lares 053,30,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Utuado 054,33,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Adjuntas 055,15,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Jayuya 056,4,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Jayuya 057,10,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Guayanilla 058,15,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Peñuelas 059,18,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Ponce 060,23,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Ponce 061,177,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Ponce 062,95,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Juana Díaz 063,31,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Juana Díaz 064,16,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Villalba 065,10,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Orocovis 066,25,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Santa Isabel 067,17,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Coamo 068,8,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Aibonito 069,20,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Barranquitas 070,14,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Barranquitas 071,4,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Corozal 072,22,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Naranjito 073,24,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Comerío 074,29,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Coamo 075,17,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Cidra 076,54,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Cayey 077,62,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Salinas 078,17,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Guayama 079,36,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Arroyo 080,7,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Aguas Buenas 081,42,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Caguas 082,114,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Caguas 083,162,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Gurabo 084,81,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Salinas 085,7,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
San Lorenzo 086,26,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
San Lorenzo 087,22,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Juncos 088,44,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Las Piedras 089,27,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Las Piedras 090,9,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Patillas 091,14,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Maunabo 092,9,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Yabucoa 093,22,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Humacao 094,93,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Naguabo 095,18,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Vieques 096,13,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Culebra 097,8,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Ceiba 098,18,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Fajardo 099,36,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Luquillo 100,19,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Río Grande 101,13,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Río Grande 102,50,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Loíza 103,36,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Canóvanas 104,24,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Canóvanas 105,29,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Carolina 106,79,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Carolina 107,102,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Carolina 108,159,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Trujillo Alto 109,70,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
Trujillo Alto 110,84,Rafael Bernabe Riefkohl,PARTIDO PUEBLO TRABAJADOR
San Juan 001,14394,Ricardo Rosselló Nevares,
San Juan 002,,Ricardo Rosselló Nevares,
San Juan 003,13107,Ricardo Rosselló Nevares,
San Juan 004,,Ricardo Rosselló Nevares,
San Juan 005,,Ricardo Rosselló Nevares,
Guaynabo 006,7287,Ricardo Rosselló Nevares,
Guaynabo 007,10779,Ricardo Rosselló Nevares,
Cataño 008,5927,Ricardo Rosselló Nevares,
Bayamón 009,,Ricardo Rosselló Nevares,
Bayamón 010,16181,Ricardo Rosselló Nevares,
Bayamón 011,15499,Ricardo Rosselló Nevares,
Bayamón 012,3530,Ricardo Rosselló Nevares,
Toa Alta 013,11567,Ricardo Rosselló Nevares,
Toa Baja 014,14184,Ricardo Rosselló Nevares,
Dorado 015,,Ricardo Rosselló Nevares,
Vega Alta 016,5119,Ricardo Rosselló Nevares,
Vega Alta 017,,Ricardo Rosselló Nevares,
Vega Baja 018,,Ricardo Rosselló Nevares,
Vega Baja 019,,Ricardo Rosselló Nevares,
Morovis 020,,Ricardo Rosselló Nevares,
Manatí 021,4302,Ricardo Rosselló Nevares,
Manatí 022,5304,Ricardo Rosselló Nevares,
Ciales 023,5301,Ricardo Rosselló Nevares,
Florida 024,3237,Ricardo Rosselló Nevares,
Barceloneta 025,4907,Ricardo Rosselló Nevares,
Arecibo 026,2771,Ricardo Rosselló Nevares,
Arecibo 027,16941,Ricardo Rosselló Nevares,
Hatillo 028,2252,Ricardo Rosselló Nevares,
Hatillo 029,5837,Ricardo Rosselló Nevares,
Camuy 030,8645,Ricardo Rosselló Nevares,
Quebradillas 031,5805,Ricardo Rosselló Nevares,
Isabela 032,8456,Ricardo Rosselló Nevares,
San Sebastián 033,8764,Ricardo Rosselló Nevares,
Las Marías 034,3000,Ricardo Rosselló Nevares,
Aguadilla 035,11121,Ricardo Rosselló Nevares,
Moca 036,8365,Ricardo Rosselló Nevares,
Moca 037,1405,Ricardo Rosselló Nevares,
Aguada 038,9194,Ricardo Rosselló Nevares,
Rincón 039,,Ricardo Rosselló Nevares,
Añasco 040,6246,Ricardo Rosselló Nevares,
Mayagüez 041,,Ricardo Rosselló Nevares,
Mayagüez 042,,Ricardo Rosselló Nevares,
San Germán 043,1764,Ricardo Rosselló Nevares,
San Germán 044,,Ricardo Rosselló Nevares,
Hormigueros 045,,Ricardo Rosselló Nevares,
Cabo Rojo 046,,Ricardo Rosselló Nevares,
Lajas 047,,Ricardo Rosselló Nevares,
Guánica 048,4251,Ricardo Rosselló Nevares,
Sabana Grande 049,,Ricardo Rosselló Nevares,
Maricao 050,1848,Ricardo Rosselló Nevares,
Yauco 051,3239,Ricardo Rosselló Nevares,
Yauco 052,4907,Ricardo Rosselló Nevares,
Lares 053,7686,Ricardo Rosselló Nevares,
Utuado 054,7571,Ricardo Rosselló Nevares,
Adjuntas 055,5451,Ricardo Rosselló Nevares,
Jayuya 056,1864,Ricardo Rosselló Nevares,
Jayuya 057,,Ricardo Rosselló Nevares,
Guayanilla 058,,Ricardo Rosselló Nevares,
Peñuelas 059,4562,Ricardo Rosselló Nevares,
Ponce 060,2776,Ricardo Rosselló Nevares,
Ponce 061,14712,Ricardo Rosselló Nevares,
Ponce 062,7878,Ricardo Rosselló Nevares,
Juana Díaz 063,5801,Ricardo Rosselló Nevares,
Juana Díaz 064,2901,Ricardo Rosselló Nevares,
Villalba 065,7246,Ricardo Rosselló Nevares,
Orocovis 066,6953,Ricardo Rosselló Nevares,
Santa Isabel 067,4557,Ricardo Rosselló Nevares,
Coamo 068,3498,Ricardo Rosselló Nevares,
Aibonito 069,,Ricardo Rosselló Nevares,
Barranquitas 070,5356,Ricardo Rosselló Nevares,
Barranquitas 071,1538,Ricardo Rosselló Nevares,
Corozal 072,8166,Ricardo Rosselló Nevares,
Naranjito 073,,Ricardo Rosselló Nevares,
Comerío 074,,Ricardo Rosselló Nevares,
Coamo 075,,Ricardo Rosselló Nevares,
Cidra 076,7965,Ricardo Rosselló Nevares,
Cayey 077,,Ricardo Rosselló Nevares,
Salinas 078,,Ricardo Rosselló Nevares,
Guayama 079,,Ricardo Rosselló Nevares,
Arroyo 080,,Ricardo Rosselló Nevares,
Aguas Buenas 081,5902,Ricardo Rosselló Nevares,
Caguas 082,,Ricardo Rosselló Nevares,
Caguas 083,,Ricardo Rosselló Nevares,
Gurabo 084,7780,Ricardo Rosselló Nevares,
Salinas 085,,Ricardo Rosselló Nevares,
San Lorenzo 086,3640,Ricardo Rosselló Nevares,
San Lorenzo 087,4314,Ricardo Rosselló Nevares,
Juncos 088,6608,Ricardo Rosselló Nevares,
Las Piedras 089,6612,Ricardo Rosselló Nevares,
Las Piedras 090,,Ricardo Rosselló Nevares,
Patillas 091,,Ricardo Rosselló Nevares,
Maunabo 092,,Ricardo Rosselló Nevares,
Yabucoa 093,8066,Ricardo Rosselló Nevares,
Humacao 094,,Ricardo Rosselló Nevares,
Naguabo 095,4901,Ricardo Rosselló Nevares,
Vieques 096,,Ricardo Rosselló Nevares,
Culebra 097,,Ricardo Rosselló Nevares,
Ceiba 098,2551,Ricardo Rosselló Nevares,
Fajardo 099,5938,Ricardo Rosselló Nevares,
Luquillo 100,3575,Ricardo Rosselló Nevares,
Río Grande 101,1414,Ricardo Rosselló Nevares,
Río Grande 102,7115,Ricardo Rosselló Nevares,
Loíza 103,5760,Ricardo Rosselló Nevares,
Canóvanas 104,3531,Ricardo Rosselló Nevares,
Canóvanas 105,4494,Ricardo Rosselló Nevares,
Carolina 106,5844,Ricardo Rosselló Nevares,
Carolina 107,,Ricardo Rosselló Nevares,
Carolina 108,,Ricardo Rosselló Nevares,
Trujillo Alto 109,,Ricardo Rosselló Nevares,
Trujillo Alto 110,,Ricardo Rosselló Nevares,
San Juan 001,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
San Juan 002,11910,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
San Juan 003,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
San Juan 004,14301,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
San Juan 005,4061,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Guaynabo 006,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Guaynabo 007,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Cataño 008,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Bayamón 009,635,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Bayamón 010,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Bayamón 011,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Bayamón 012,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Toa Alta 013,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Toa Baja 014,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Dorado 015,6443,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Vega Alta 016,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Vega Alta 017,1389,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Vega Baja 018,4703,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Vega Baja 019,5161,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Morovis 020,6869,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
